id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
8.0,01-3166-6 / 青歯166,わかい歯科医院,〒030－0961,青森市浪打一丁目２０－３,017-741-0411,若井　以久子,若井　以久子 / 新規 / 令4. 8. 1,昭55. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,

9.0,01-3181-5 / 青歯181,後藤歯科医院,〒038－0011,青森市篠田一丁目２５－８,017-781-3130,後藤　渉,後藤　渉 / 新規 / 令6. 7. 10,昭57. 7. 10,歯 / 現存,診療所,,,,,,,,,,,,,

10.0,01-3182-3 / 青歯182,中央歯科クリニック,〒030－0861,青森市長島二丁目１２－６,0177-77-6050,嶋中　繁樹,嶋中　繁樹 / 新規 / 令6. 10. 1,昭57. 10. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

11.0,01-3188-0 / 青歯188,源内歯科クリニック,〒038－0004,青森市富田一丁目２６－１,017-766-4188,柿﨑　実,柿﨑　実 / 新規 / 令4. 5. 15,昭58. 5. 15,歯　小歯　矯歯　歯外 / 現存,診療所,,,,,,,,,,,,,

12.0,01-3198-9 / 青歯198,若井歯科医院,〒030－0915,青森市小柳三丁目１５－８,017-741-1470,若井　浩,若井　浩 / 新規 / 令5. 8. 1,昭59. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,

13.0,01-3199-7 / 青歯199,今歯科医院,〒030－0851,青森市旭町一丁目１５－８,017-777-2146,今　恒男,今　恒男 / 新規 / 令5. 8. 1,昭59. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,

14.0,01-3202-9 / 青歯202,カタヤ歯科医院,〒030－0902,青森市合浦一丁目１４－１２,0177-43-6464,片谷　昌平,片谷　昌平 / 新規 / 令6. 5. 1,昭60. 5. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

15.0,01-3211-0 / 青歯211,対馬歯科医院,〒030－0912,青森市八重田四丁目１－１３,0177-36-2355,対馬　正之,対馬　正之 / 新規 / 令4. 8. 15,昭61. 8. 15,歯 / 現存,診療所,,,,,,,,,,,,,

16.0,01-3215-1 / 青歯215,北川歯科医院,〒030－0944,青森市筒井四丁目５番１７号,017-738-8188,北川　隆史,北川　隆史 / 新規 / 令5. 7. 1,昭62. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,

17.0,01-3220-1 / 青歯220,むらかみ歯科クリニック,〒030－0853,青森市金沢三丁目３０－２３,017-777-8244,村上　公克,村上　公克 / 新規 / 令5. 8. 15,昭62. 8. 15,歯 / 現存,診療所,,,,,,,,,,,,,

18.0,01-3221-9 / 青歯221,小林歯科クリニック,〒030－0846,青森市青葉一丁目１－１８,0177-39-9963,小林　敏彦,小林　敏彦 / 新規 / 令5. 8. 15,昭62. 8. 15,歯 / 現存,診療所,,,,,,,,,,,,,

19.0,01-3226-8 / 青歯226,長谷川歯科医院,〒030－0841,青森市奥野三丁目１２－９,0177-74-3268,長谷川　光昭,長谷川　光昭 / 移動 / 令6. 7. 11,昭63. 7. 11,歯 / 現存,診療所,,,,,,,,,,,,,

20.0,01-3228-4 / 青歯228,江良歯科,〒030－0822,青森市中央一丁目１７－１３,0177-22-8828,江良　好光,江良　好光 / 新規 / 令6. 9. 15,昭63. 9. 15,歯 / 現存,診療所,,,,,,,,,,,,,

21.0,01-3232-6 / 青歯232,むらた歯科医院,〒030－0914,青森市岡造道二丁目３－１８,0177-41-8880,村田　裕明,村田　裕明 / 新規 / 令4. 7. 15,平元. 7. 15,歯 / 現存,診療所,,,,,,,,,,,,,

22.0,01-3233-4 / 青歯233,桜庭歯科医院,〒030－0846,青森市青葉二丁目１０－２,017-739-7575,櫻庭　裕,櫻庭　裕 / 新規 / 令4. 8. 1,平元. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,

23.0,01-3234-2 / 青歯234,成田歯科矯正歯科医院,〒030－0812,青森市堤町二丁目２１－７,0177-22-8214,成田　昌穂,成田　昌穂 / 新規 / 令4. 8. 1,平元. 8. 1,歯　矯歯 / 現存,診療所,,,,,,,,,,,,,

24.0,01-3238-3 / 青歯238,ホワイト歯科医院,〒030－0962,青森市佃一丁目２０－１０,0177-41-8855,鈴木　波香,鈴木　波香 / 交代 / 令4. 12. 15,平元. 12. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

25.0,01-3240-9 / 青歯240,おきだて歯科クリニック,〒038－0002,青森市沖館五丁目２０－１１,017-766-2322,喜田　眞司,喜田　眞司 / 新規 / 令5. 2. 1,平2. 2. 1,歯 / 現存,診療所,,,,,,,,,,,,,

26.0,01-3241-7 / 青歯241,対馬歯科オフィス,〒038－0011,青森市篠田三丁目４－４２,0177-82-6471,對馬　人志,對馬　人志 / 新規 / 令5. 8. 1,平2. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,

27.0,01-3245-8 / 青歯245,ヤマダ歯科矯正歯科クリニック,〒030－0843,青森市大字浜田字玉川２４４－４,0177-39-1112,山田　淳一,山田　淳一 / 新規 / 令6. 6. 1,平3. 6. 1,歯　矯歯 / 現存,診療所,,,,,,,,,,,,,

28.0,01-3251-6 / 青歯251,奥瀬歯科医院,〒030－0801,青森市新町一丁目１２－５,0177-22-4703,奥瀬　博之,奥瀬　博之 / 交代 / 令6. 7. 17,平3. 7. 17,歯 / 現存,診療所,,,,,,,,,,,,,

29.0,01-3254-0 / 青歯254,医療法人ミナトヤ歯科医院,〒030－0844,青森市桂木四丁目４－１０,017-723-3077,医療法人　ミナトヤ歯科医院　理事長　湊谷　浩,湊谷　浩 / 組織変更 / 令6. 8. 1,平3. 8. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

30.0,01-3255-7 / 青歯255,よしかわ歯科医院,〒030－0944,青森市大字筒井字八ッ橋１３８２－２２,017-728-2530,吉川　哲也,吉川　哲也 / 新規 / 令6. 9. 15,平3. 9. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

31.0,01-3256-5 / 青歯256,まつもと歯科医院,〒030－0963,青森市中佃一丁目１７－７,017-741-6480,松本　靖宏,松本　靖宏 / 新規 / 令6. 10. 1,平3. 10. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

32.0,01-3259-9 / 青歯259,さかがみ歯科クリニック,〒030－0915,青森市小柳六丁目１８－３,0177-43-8110,坂上　雅彦,坂上　雅彦 / 新規 / 令4. 3. 15,平4. 3. 15,歯 / 現存,診療所,,,,,,,,,,,,,

33.0,01-3260-7 / 青歯260,竹浪歯科医院,〒030－0943,青森市幸畑一丁目２０－１５,0177-28-2811,竹浪　守夫,竹浪　守夫 / 新規 / 令4. 4. 1,平4. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,

34.0,01-3261-5 / 青歯261,米澤デンタルクリニック,〒038－0022,青森市大字浪館字泉川２２－４,0177-29-1234,米澤　貴幸,米澤　貴幸 / 新規 / 令4. 6. 1,平4. 6. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

35.0,01-3265-6 / 青歯265,かわさき歯科医院,〒030－0911,青森市造道三丁目２４－２,0177-43-1008,川崎　恒俊,川崎　恒俊 / 新規 / 令4. 7. 15,平4. 7. 15,歯 / 現存,診療所,,,,,,,,,,,,,

36.0,01-3266-4 / 青歯266,牧歯科医院,〒030－0862,青森市古川一丁目１６－１１丸吉ビル２Ｆ,0177-75-8881,牧　和宏,牧　和宏 / 新規 / 令4. 8. 1,平4. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,

37.0,01-3267-2 / 青歯267,フラワー歯科医院,〒030－0845,青森市緑三丁目４－２１,017-723-8898,三浦　雅文,三浦　雅文 / 新規 / 令4. 10. 1,平4. 10. 1,歯 / 現存,診療所,,,,,,,,,,,,,

38.0,01-3269-8 / 青歯269,せき歯科クリニック,〒030－0943,青森市幸畑一丁目２２－１０,017-738-8148,関　真人,関　真人 / 交代 / 令5. 4. 15,平5. 4. 15,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

39.0,01-3272-2 / 青歯272,佐々木歯科医院,〒038－0013,青森市久須志一丁目１３－１９,0177-77-1087,佐々木　美王,佐々木　美王 / 交代 / 令5. 10. 6,平5. 10. 6,歯 / 現存,診療所,,,,,,,,,,,,,

40.0,01-3274-8 / 青歯274,かきざき歯科クリニック,〒038－0042,青森市大字新城字平岡１７４－１０,0177-87-3210,柿崎　慶太,柿崎　慶太 / 新規 / 令6. 3. 1,平6. 3. 1,歯 / 現存,診療所,,,,,,,,,,,,,

41.0,01-3277-1 / 青歯277,長内歯科医院,〒030－0802,青森市本町一丁目７－１,0177-76-3404,長内　幸一,長内　幸一 / 交代 / 令4. 6. 21,平7. 6. 21,歯 / 現存,診療所,,,,,,,,,,,,,

42.0,01-3279-7 / 青歯279,えらデンタルクリニック,〒030－0941,青森市自由ヶ丘二丁目７－２６,0177-44-1081,江良　安弘,江良　安弘 / 新規 / 令4. 10. 15,平7. 10. 15,歯 / 現存,診療所,,,,,,,,,,,,,

43.0,01-3283-9 / 青歯283,あさだ歯科医院,〒030－0947,青森市浜館四丁目５－１８,0177-44-2908,浅田　智,浅田　智 / 新規 / 令6. 4. 15,平9. 4. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

44.0,01-3288-8 / 青歯288,三和会歯科クリニック,〒038－0031,青森市大字三内字稲元１２２－２,017-766-1231,医療法人　三和会　理事長　奥平　泰士,奥平　泰士 / 組織変更 / 令6. 10. 1,平9. 10. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

45.0,01-3289-6 / 青歯289,千歳歯科医院,〒030－0821,青森市勝田二丁目３－１０,017-777-1000,千歳　潤,千歳　潤 / 新規 / 令6. 11. 15,平9. 11. 15,歯 / 現存,診療所,,,,,,,,,,,,,

46.0,01-3292-0 / 青歯292,スマイルの歯科クリニック,〒038－0002,青森市沖館四丁目２－４７,0177-83-3988,藤巻　恵美,藤巻　恵美 / 新規 / 令4. 1. 15,平10. 1. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

47.0,01-3293-8 / 青歯293,ふじもと歯科医院,〒030－0111,青森市大字荒川字柴田１５－２,017-762-2030,藤本　聖司,藤本　聖司 / 新規 / 令4. 4. 15,平10. 4. 15,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

48.0,01-3295-3 / 青歯295,つくだ歯科クリニック,〒030－0964,青森市南佃二丁目１６－１２,0177-42-9148,田村　文人,田村　文人 / 移動 / 令4. 10. 1,平10. 10. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

49.0,01-3300-1 / 青歯300,柳谷歯科医院,〒030－0846,青森市青葉三丁目１－９,017-739-1766,医療法人　柳谷歯科医院　理事長　工藤　仁志,工　仁志 / 組織変更 / 令5. 6. 1,平11. 6. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

50.0,01-3301-9 / 青歯301,たきや歯科医院,〒030－0966,青森市花園二丁目２１－１,0177-42-0939,滝谷　英三,滝谷　英三 / 新規 / 令5. 9. 1,平11. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,

51.0,01-3304-3 / 青歯304,とき歯科,〒030－0921,青森市原別五丁目９番１号,017-736-1515,土岐　貴,土岐　貴 / 新規 / 令6. 4. 1,平12. 4. 1,歯　小歯　歯外　矯歯 / 現存,診療所,,,,,,,,,,,,,

52.0,01-3305-0 / 青歯305,サクラヰ歯科医院,〒030－0861,青森市長島二丁目２５－４サクラヰビル　２階,017-775-3951,櫻井　省一,櫻井　省一 / 新規 / 令6. 5. 15,平12. 5. 15,歯 / 現存,診療所,,,,,,,,,,,,,

53.0,01-3308-4 / 青歯308,たかや歯科クリニック,〒030－0843,青森市浜田二丁目１５番地１８,017-729-8110,高谷　和彦,高谷　和彦 / 新規 / 令6. 10. 15,平12. 10. 15,歯 / 現存,診療所,,,,,,,,,,,,,

54.0,01-3311-8 / 青歯311,熊谷歯科医院,〒030－0812,青森市堤町二丁目２１－１,017-734-0686,熊谷　拓,熊谷　拓 / 移動 / 令6. 11. 15,平12. 11. 15,歯 / 現存,診療所,,,,,,,,,,,,,

55.0,01-3312-6 / 青歯312,アイル浜中歯科クリニック,〒030－0123,青森市大字大矢沢字里見８８－１１,017-728-2240,濵中　東夫,濵中　東夫 / 新規 / 令7. 4. 1,平13. 4. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

56.0,01-3313-4 / 青歯313,おりかさ歯科クリニック,〒038－0006,青森市三好一丁目１３－７,017-761-5533,折笠　和俊,折笠　和俊 / 新規 / 令元. 7. 15,平13. 7. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

57.0,01-3314-2 / 青歯314,大澤歯科医院,〒038－0058,青森市大字羽白字沢田４４－８,017-788-1411,大澤　公生,大澤　公生 / 新規 / 令元. 8. 15,平13. 8. 15,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

58.0,01-3321-7 / 青歯321,ジョイフル歯科クリニック,〒038－0004,青森市富田三丁目１５番１８号,017-782-8041,医療法人社団　八雲会　理事長　大越　聡一郎,葛西　真紀子 / 組織変更 / 令2. 6. 1,平14. 6. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

59.0,01-3322-5 / 青歯322,對馬歯科医院,〒030－0801,青森市新町一丁目８－２４,017-722-5466,對馬　壽夫,對馬　壽夫 / 交代 / 令2. 5. 18,平14. 5. 18,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

60.0,01-3326-6 / 青歯326,清藤歯科医院　中央診療所,〒030－0822,青森市中央一丁目２１－２,017-735-3401,田附　敏良,田附　敏良 / 交代 / 令3. 5. 1,平15. 5. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

61.0,01-3328-2 / 青歯328,てつや歯科クリニック,〒030－0945,青森市桜川８丁目６－１０,017-765-3655,船水　哲也,船水　哲也 / 新規 / 令3. 9. 1,平15. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,

62.0,01-3330-8 / 青歯330,ダイヤ歯科クリニック,〒030－0852,青森市大野字山下１７１－１７,017-739-6874,石田　大也,石田　大也 / 新規 / 令3. 11. 1,平15. 11. 1,歯 / 現存,診療所,,,,,,,,,,,,,

63.0,01-3331-6 / 青歯331,にこにこ歯科クリニック,〒038－0006,青森市三好二丁目３番地１９－２階,017-766-8810,医療法人社団八雲会　理事長　大越　聡一郎,大泰司　正嗣 / 新規 / 令3. 12. 1,平15. 12. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

64.0,01-3332-4 / 青歯332,神田歯科医院,〒038－0024,青森市浪館前田四丁目２－１４,017-782-8359,神田　尚典,神田　尚典 / 新規 / 令3. 12. 1,平15. 12. 1,歯 / 現存,診療所,,,,,,,,,,,,,

65.0,01-3336-5 / 青歯336,村田歯科医院,〒030－0903,青森市栄町一丁目１１－６,017-743-1600,村田　浩伸,村田　浩伸 / 交代 / 令4. 4. 1,平16. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,

66.0,01-3337-3 / 青歯337,いちかわ歯科クリニック,〒038－0032,青森市里見一丁目１３－３３,017-761-1107,市川　真弓,市川　真弓 / 新規 / 令4. 5. 1,平16. 5. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

67.0,01-3338-1 / 青歯338,医療法人　愛和会　桜川歯科医院,〒030－0945,青森市桜川三丁目１４－１７,017-743-6881,医療法人　愛和会　桜川歯科医院　理事長　石川　佳和,石川　佳和 / 組織変更 / 令4. 4. 14,平16. 4. 14,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

68.0,01-3340-7 / 青歯340,オリーブこども歯科,〒030－0803,青森市安方２丁目３－１６－２Ｆ,017-773-1861,秋谷　久美子,秋谷　久美子 / 交代 / 令4. 8. 1,平16. 8. 1,小歯 / 現存,診療所,,,,,,,,,,,,,

69.0,01-3342-3 / 青歯342,せきの歯科医院,〒030－0132,青森市横内字亀井５９－３,017-764-4181,関野　雄三,関野　雄三 / 移動 / 令4. 12. 1,平16. 12. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

70.0,01-3343-1 / 青歯343,船越歯科医院,〒030－0903,青森市栄町２丁目８－１８,017-743-0321,船越　陽介,船越　陽介 / 交代 / 令5. 3. 1,平17. 3. 1,歯 / 現存,診療所,,,,,,,,,,,,,

71.0,01-3345-6 / 青歯345,笹森歯科医院,〒038－1311,青森市浪岡大字浪岡字川合８１－１１,0172-62-7227,笹森　大資,笹森　大資 / その他 / 令5. 9. 1,平11. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,

72.0,01-3346-4 / 青歯346,赤川斎藤歯科医院,〒038－1311,青森市浪岡大字浪岡字平野２６－４,0172-62-8600,斎藤　芳光,斎藤　芳光 / その他 / 令6. 11. 1,平12. 11. 1,歯 / 現存,診療所,,,,,,,,,,,,,

73.0,01-3347-2 / 青歯347,東町歯科医院,〒038－1331,青森市浪岡大字女鹿沢字東種本１４－７,080-3333-0649,佐藤　広治,佐藤　広治 / その他 / 令5. 1. 1,平17. 1. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

74.0,01-3348-0 / 青歯348,かとう歯科医院,〒038－1311,青森市浪岡大字浪岡字細田２０２－３,0172-62-6480,医療法人　藤伸会　理事長　加藤　伸生,加藤　伸生 / その他 / 令4. 2. 1,平16. 2. 1,歯　矯歯　小歯 / 休止,診療所,,,,,,,,,,,,,

75.0,01-3352-2 / 青歯352,医療法人　輝栄会　奈良岡歯科医院,〒030－0947,青森市浜館２－３－４２,017-744-4182,医療法人　輝栄会　理事長　奈良岡　英俊,清原　美夏 / 新規 / 令5. 5. 1,平17. 5. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

76.0,01-3354-8 / 青歯354,阿部歯科医院,〒030－0903,青森市栄町２－２－１８,017-741-6266,阿部　真己,阿部　真己 / 交代 / 令5. 8. 19,平17. 8. 19,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

77.0,01-3355-5 / 青歯355,やまもと歯科,〒030－0843,青森市大字浜田字玉川２７－４,017-721-5230,山本　明義,山本　明義 / 新規 / 令6. 9. 1,平18. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,

78.0,01-3356-3 / 青歯356,塩崎歯科医院,〒030－0945,青森市桜川５－２－１１,017-741-3338,塩崎　裕史,塩崎　裕史 / 移動 / 令6. 12. 1,平18. 12. 1,歯 / 現存,診療所,,,,,,,,,,,,,

79.0,01-3358-9 / 青歯358,なみおか歯科矯正こども歯科,〒038－1311,青森市浪岡大字浪岡字稲村１５７－２０,0172-62-8618,柿﨑　實,柿﨑　毅 / 新規 / 令元. 10. 1,平19. 10. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

80.0,01-3359-7 / 青歯359,ＪＵＮ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ,〒030－0841,青森市奥野２丁目２０－１３,017-773-6680,荒関　潤,荒関　潤 / 新規 / 令元. 11. 1,平19. 11. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

81.0,01-3360-5 / 青歯360,のぎわデンタルクリニック,〒038－0058,青森市大字羽白字沢田３００番４号,017-788-4182,神山　陽介,神山　陽介 / 新規 / 令元. 11. 1,平19. 11. 1,歯 / 現存,診療所,,,,,,,,,,,,,

82.0,01-3361-3 / 青歯361,桜田歯科医院,〒030－0122,青森市野尻今田１１番地,017-738-7511,櫻田　聡彦,櫻田　聡彦 / 交代 / 令2. 1. 1,平20. 1. 1,歯 / 現存,診療所,,,,,,,,,,,,,

83.0,01-3362-1 / 青歯362,工藤歯科医院,〒030－0861,青森市長島４－１１－１,017-776-7756,工藤　浩幸,工藤　浩幸 / 交代 / 令2. 3. 18,平20. 3. 18,歯 / 現存,診療所,,,,,,,,,,,,,

84.0,01-3363-9 / 青歯363,たきさわ歯科クリニック,〒038－0059,青森市大字油川字浪岸３番地,017-787-1515,滝沢　江太郎,滝沢　江太郎 / 新規 / 令2. 9. 1,平20. 9. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

85.0,01-3364-7 / 青歯364,大空歯科クリニック,〒038－0024,青森市浪館前田四丁目２９－２０,,楠美　昭則,楠美　昭則 / 新規 / 令2. 11. 1,平20. 11. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

86.0,01-3365-4 / 青歯365,青葉歯科医院,〒038－0032,青森市里見１－８－３６,017-782-1378,玉山　元淳,玉山　元淳 / 交代 / 令3. 2. 1,平21. 2. 1,歯 / 現存,診療所,,,,,,,,,,,,,

87.0,01-3367-0 / 青歯367,熊谷歯科,〒030－0862,青森市古川三丁目１７－１,017-776-5124,熊谷　恒,熊谷　恒 / 交代 / 令3. 7. 15,平21. 7. 15,歯 / 現存,診療所,,,,,,,,,,,,,

88.0,01-3368-8 / 青歯368,むつ歯科医院,〒030－0853,青森市金沢３－１１－１５,017-777-1840,舘田　朝香,舘田　朝香 / 新規 / 令3. 9. 1,平21. 9. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

89.0,01-3369-6 / 青歯369,医療法人ティー・エム・ケー　ミドリ　デンタル　クリニック,〒030－0845,青森市緑２丁目１３－１４,017-777-3232,医療法人ティー・エム・ケー　理事長　工藤　剛大,工藤　剛大 / 組織変更 / 令4. 5. 1,平22. 5. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

90.0,01-3371-2 / 青歯371,鈴木歯科医院,〒038－0011,青森市篠田２丁目２１－７,017-781-0032,鈴木　逸夫,鈴木　逸夫 / 交代 / 令4. 7. 5,平22. 7. 5,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

91.0,01-3373-8 / 青歯373,Ｋｏｊｉ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ,〒030－0966,青森市花園１丁目５番１１号,017-741-2100,関　浩二,関　浩二 / 新規 / 令4. 11. 1,平22. 11. 1,歯　歯外 / 現存,診療所,,,,,,,,,,,,,

92.0,01-3374-6 / 青歯374,ようこデンタルクリニック,〒030－0944,青森市筒井４－２－４６,017-728-0486,一戸　洋子,一戸　洋子 / 新規 / 令5. 4. 1,平23. 4. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

93.0,01-3375-3 / 青歯375,医療法人　美歯会　板垣矯正歯科　青森診療室,〒030－0862,青森市古川一丁目１１番１３号,017-777-6600,医療法人　美歯会　理事長　板垣　正樹,板垣　祐介 / 組織変更 / 令5. 4. 8,平23. 4. 8,矯歯 / 現存,診療所,,,,,,,,,,,,,

94.0,01-3376-1 / 青歯376,よこうち歯科,〒038－0058,青森市羽白字富田３３１－１,017-763-2121,横内　大,横内　大 / 移動 / 令5. 8. 1,平23. 8. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

95.0,01-3377-9 / 青歯377,本田歯科医院,〒030－0822,青森市中央１丁目５－８,017-773-5110,本田　宗一郎,本田　宗一郎 / 交代 / 令6. 3. 1,平24. 3. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

96.0,01-3379-5 / 青歯379,とやま歯科医院,〒030－0957,青森市蛍沢三丁目１３番８号,017-762-7275,医療法人福成会　理事長　菊地　寛司,二ノ倉　輝子 / 新規 / 令7. 5. 1,平25. 5. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

97.0,01-3382-9 / 青歯382,三戸歯科クリニック,〒038－0024,青森市浪館前田４－１２－１３,017-763-5218,三戸　敬之,三戸　敬之 / 新規 / 令元. 11. 1,平25. 11. 1,歯　小歯　歯外　矯歯 / 現存,診療所,,,,,,,,,,,,,

98.0,01-3383-7 / 青歯383,Ｓ　ＤＥＮＴＡＬ　ＣＬＩＮＩＣ　佐藤歯科,〒038－0011,青森市篠田３丁目２－１３,017-763-5418,佐藤　徳志,佐藤　徳志 / 新規 / 令2. 4. 1,平26. 4. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,

99.0,01-3386-0 / 青歯386,北畠歯科医院,〒038－0003,青森市大字石江字江渡４番地－１０マンションブルク石江１階,017-763-0677,北畠　顕良,北畠　顕良 / 新規 / 令2. 12. 1,平26. 12. 1,歯　歯外　小歯 / 現存,診療所,,,,,,,,,,,,,

100.0,01-3388-6 / 青歯388,東青森駅前　まがら歯科,〒030－0964,青森市南佃１丁目４－１６,017-741-1180,真柄　優子,真柄　優子 / 新規 / 令3. 10. 1,平27. 10. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,

101.0,01-3389-4 / 青歯389,西巻デンタルオフィス青森,〒030－0861,青森市長島１丁目６番６号クロスタワー　ア・ベイ３０２,017-721-6166,医療法人社団　秀仁会　理事長　西巻　仁,鈴木　麗 / 新規 / 令3. 12. 1,平27. 12. 1,歯　小歯　歯外　矯歯 / 現存,診療所,,,,,,,,,,,,,

102.0,01-3391-0 / 青歯391,ミント歯科クリニック,〒030－0847,青森市東大野１丁目６番地１０,017-739-9755,医療法人　ミント歯科クリニック　理事長　髙屋　方子,髙屋　方子 / 組織変更 / 令4. 1. 1,平28. 1. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,

103.0,01-3392-8 / 青歯392,堀内歯科医院,〒030－0822,青森市中央一丁目２７－１,017-734-1707,堀内　逹也,堀内　逹也 / 交代 / 令3. 12. 26,平27. 12. 26,歯 / 現存,診療所,,,,,,,,,,,,,

