id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24iid,code.1,name.1,address.1,prefecture.1,tel.1,corporation.1,director.1,established.1,bed_type_and_count.1,facility_type.1,col12.1,col13.1,col14.1,col15.1,col16.1,col17.1,col18.1,col19.1,col20.1,col21.1,col22.1,col23.1,col24
11.0,01-3365-5,１８丁目歯科,〒060－0063,札幌市中央区南３条西１８丁目２９１番地,011-621-4571,菊田　浩一,菊田　浩一 / 新規 / 令6. 2. 1,昭60. 2. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

12.0,01-3369-7,ワタナベ歯科診療所,〒060－0003,札幌市中央区北３条西３丁目１－４４ヒューリックスクエア札幌２Ｆ,011-241-6595,渡辺　周志,渡辺　周志 / 交代 / 令6. 6. 17,昭60. 6. 17,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

13.0,01-3372-1,フジタ歯科診療所,〒060－0051,札幌市中央区南１条東１丁目大通バスセンタービル８階,011-261-7791,藤田　京孝,藤田　京孝 / 移動 / 令6. 7. 8,昭60. 7. 8,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

14.0,01-3383-8,医療法人社団幸歯会　ライラック歯科医院,〒060－0042,札幌市中央区大通西１４丁目３番地２４号,011-271-1110,医療法人社団幸歯会,舘山　さほり / 組織変更 / 令4. 1. 1,昭61. 1. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

15.0,01-3389-5,小池歯科医院,〒060－0062,札幌市中央区南２条西６丁目１番地１号,011-241-4593,小池　正直,小池　正直 / 移動 / 令4. 7. 12,昭61. 7. 12,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

16.0,01-3402-6,山崎歯科医院,〒060－0061,札幌市中央区南１条西１２丁目新永ビル２階,011-261-6660,山崎　一,山崎　一 / 移動 / 令4. 12. 1,昭61. 12. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

17.0,01-3406-7,大西歯科医院,〒060－0062,札幌市中央区南２条西９丁目１番地１３号ケンタク２・９ビル２Ｆ,011-271-7879,大西　秀樹,大西　秀樹 / 移動 / 令5. 2. 17,昭62. 2. 17,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

18.0,01-3423-2,星井歯科クリニック,〒064－0806,札幌市中央区南６条西１７丁目１番２０号,011-642-2859,星井　守,星井　守 / 新規 / 令6. 4. 15,昭63. 4. 15,外　歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

19.0,01-3424-0,高向歯科クリニック,〒064－0820,札幌市中央区大通西２０丁目１番３号コンチネンタルＺＯＮＥビル,011-612-8148,高向　治宣,高向　治宣 / 新規 / 令6. 4. 15,昭63. 4. 15,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

20.0,01-3437-2,原歯科医院,〒064－0912,札幌市中央区南１２条西１３丁目２番３号,011-561-7023,原　覚,原　覚 / 交代 / 令6. 9. 5,昭63. 9. 5,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

21.0,01-3448-9,恵愛歯科医院,〒064－0914,札幌市中央区南１４条西８丁目４番１３号アルファコート行啓１階,011-552-0460,山地　忠司,山地　忠司 / 新規 / 令4. 4. 15,平元. 4. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

22.0,01-3451-3,山口歯科診療所,〒064－0808,札幌市中央区南８条西２６丁目２番６号,011-561-1815,山口　親彦,山口　親彦 / 交代 / 令4. 4. 19,平元. 4. 19,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

23.0,01-3456-2,医療法人社団　永山歯科診療所,〒060－0032,札幌市中央区北２条東３丁目２番２号マルタビル札幌２階,011-261-0769,医療法人社団　永山歯科診療所,永山　和典 / 組織変更 / 令4. 7. 1,平元. 7. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

24.0,01-3462-0,医療法人社団　中井歯科医院,〒064－0807,札幌市中央区南７条西７丁目１０３３番地,011-511-5627,医療法人社団　中井歯科医院,中井　一元 / 組織変更 / 令4. 10. 1,平元. 10. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

25.0,01-3473-7,やまはな歯科,〒064－0923,札幌市中央区南２３条西１１丁目１番１号,011-563-8601,大嶋　一正,大嶋　一正 / 移動 / 令4. 12. 4,平元. 12. 4,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

26.0,01-3479-4,紅林歯科,〒060－0063,札幌市中央区南３条西３丁目８番１号スワン札幌ビル６階,011-221-7775,紅林　雅文,紅林　雅文 / 移動 / 令5. 4. 1,平2. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

27.0,01-3496-8,こどもの歯科診療室,〒064－0824,札幌市中央区北４条西２８丁目　スドウビル２階,011-642-6022,藤田　充康,藤田　充康 / 新規 / 令6. 2. 1,平3. 2. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

28.0,01-3504-9,ＫＯＨ歯科医院,〒060－0062,札幌市中央区南２条西３丁目１２番地５Ｋ２　ＳＱＵＡＲＥ　４Ｆ,011-222-5995,小原　大蔵,小原　大蔵 / 新規 / 令6. 9. 1,平3. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

29.0,01-3505-6,中村歯科医院,〒064－0921,札幌市中央区南２１条西１３丁目８８４番地１号,011-511-7100,中村　かほる,中村　かほる / 新規 / 令6. 10. 1,平3. 10. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

30.0,01-3509-8,まどか歯科クリニック,〒064－0820,札幌市中央区大通西２７丁目円山バスターミナル２階,011-613-1531,横山　正人,横山　正人 / 交代 / 令3. 11. 21,平3. 11. 21,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

31.0,01-3513-0,馬場歯科小児歯科診療室,〒064－0917,札幌市中央区南１７条西１４丁目１－２３－１０２,011-561-1577,馬場　清哉,馬場　清哉 / 移動 / 令3. 12. 20,平3. 12. 20,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

32.0,01-3537-9,医療法人社団愛誠会　いとう歯科医院,〒060－0061,札幌市中央区南１条西１４丁目２９１番地,011-271-0090,医療法人社団　愛誠会,伊藤　忠弘 / 組織変更 / 令4. 12. 1,平4. 12. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

33.0,01-3541-1,医療法人社団　尾崎歯科,〒060－0061,札幌市中央区南１条西１３丁目４番地３５号,011-231-6311,医療法人社団　尾崎歯科,尾崎　守男 / 組織変更 / 令5. 1. 1,平5. 1. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

34.0,01-3549-4,きた矯正歯科,〒060－0042,札幌市中央区大通西５丁目８番地,011-242-6246,喜多　宏明,喜多　宏明 / 新規 / 令5. 6. 1,平5. 6. 1,矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

35.0,01-3555-1,みやわき歯科医院,〒060－0002,札幌市中央区北２条西３丁目　タケサトビル４Ｆ,011-251-7589,宮脇　雅裕,宮脇　雅裕 / 交代 / 令5. 7. 1,平5. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

36.0,01-3566-8,宮の森中央歯科,〒064－0952,札幌市中央区宮の森２条６丁目２－１１,011-622-2828,一ノ関　剛史,一ノ関　剛史 / 新規 / 令5. 12. 1,平5. 12. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

37.0,01-3576-7,ながかわ歯科医院,〒064－0924,札幌市中央区南２４条西９丁目２番地１号,011-512-3451,長川　公彦,長川　公彦 / 新規 / 令6. 8. 15,平6. 8. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

38.0,01-3581-7,浅間歯科医院,〒064－0914,札幌市中央区南１４条西１４丁目２番２１号シティーポート正栄２階,011-563-8558,浅間　光,浅間　光 / 移動 / 令4. 3. 1,平7. 3. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

39.0,01-3585-8,グランド歯科医院,〒060－0002,札幌市中央区北２条西３丁目　朝日生命ビル,011-261-8066,挽地　俊哉,挽地　俊哉 / 新規 / 令4. 6. 1,平7. 6. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

40.0,01-3586-6,友寄歯科診療所,〒060－0061,札幌市中央区南１条西７丁目札幌スカイビル,011-221-2819,友寄　英基,友寄　英基 / 交代 / 令4. 7. 1,平7. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

41.0,01-3598-1,尾崎歯科,〒060－0042,札幌市中央区大通西２丁目都心ビル７Ｆ,011-231-8031,尾崎　純一,尾崎　純一 / 交代 / 令4. 11. 21,平7. 11. 21,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

42.0,01-3600-5,渡辺歯科医院,〒064－0810,札幌市中央区南１０条西１２丁目１番４０号,011-561-6926,渡邊　浩史,渡邊　浩史 / 交代 / 令4. 12. 6,平7. 12. 6,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

43.0,01-3605-4,中沢歯科,〒060－0002,札幌市中央区北２条西２丁目１番地ハクオウビル４階,011-233-3600,中澤　潤,中澤　潤 / 新規 / 令5. 2. 15,平8. 2. 15,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

44.0,01-3606-2,清水歯科医院,〒060－0053,札幌市中央区南３条東２丁目,011-251-6430,清水　純一,清水　純一 / 交代 / 令5. 1. 25,平8. 1. 25,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

45.0,01-3608-8,パールヤマダ歯科,〒064－0806,札幌市中央区南６条西２２丁目３番４４号,011-562-8110,山田　隆利,山田　隆利 / 交代 / 令5. 4. 1,平8. 4. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

46.0,01-3609-6,藤川歯科クリニック,〒060－0004,札幌市中央区北４条西１２丁目１番２８号日宝北４条ビル１階,011-272-3233,藤川　裕光,藤川　裕光 / 新規 / 令5. 4. 15,平8. 4. 15,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

47.0,01-3615-3,医療法人社団　オリーブ歯科,〒064－0928,札幌市中央区南２８条西１１丁目１番６号,011-531-3344,医療法人社団　オリーブ歯科,吉澤　公徳 / 組織変更 / 令5. 12. 1,平8. 12. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

48.0,01-3617-9,医療法人社団敬仁会　ひらの歯科,〒064－0923,札幌市中央区南２３条西８丁目２ー２３,011-521-2226,医療法人社団　敬仁会　理事長　平野　敬久,平野　敬久 / 新規 / 令6. 1. 1,平9. 1. 1,歯　矯歯　小歯　歯外 / 休止,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

49.0,01-3620-3,はらだ歯科,〒060－0004,札幌市中央区北４条西７丁目　北農健保会館１階,011-261-8888,原田　仁,原田　仁 / 新規 / 令6. 2. 1,平9. 2. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

50.0,01-3625-2,おか歯科クリニック,〒064－0952,札幌市中央区宮の森２条８丁目２ー５,011-612-3212,岡　秀博,岡　秀博 / 新規 / 令6. 5. 15,平9. 5. 15,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

51.0,01-3627-8,歯科オムニデンティックス,〒060－0061,札幌市中央区南１条西３丁目８番地札幌アメリカ屋ビル９Ｆ,011-242-6664,白井　伸一,白井　伸一 / 新規 / 令6. 6. 1,平9. 6. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

52.0,01-3631-0,宮本歯科医院,〒064－0913,札幌市中央区南１３条西２２丁目１ー１,011-561-2648,宮本　宰,宮本　宰 / 交代 / 令6. 7. 1,平9. 7. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

53.0,01-3637-7,円山サークル歯科医院,〒064－0821,札幌市中央区北１条西２４丁目４番１号札幌東光ストアー円山店２Ｆ,011-640-3090,鈴木　康裕,鈴木　康裕 / 新規 / 令6. 9. 15,平9. 9. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

54.0,01-3638-5,まつおか中央歯科,〒064－0916,札幌市中央区南１６条西１５丁目１－３,011-532-0900,松岡　聡史,松岡　聡史 / 新規 / 令6. 10. 15,平9. 10. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

55.0,01-3639-3,のざわ歯科医院,〒064－0951,札幌市中央区宮の森１条１１丁目１ー４０カーサ池田１階,011-643-1818,野澤　俊彦,野澤　俊彦 / 新規 / 令6. 11. 1,平9. 11. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

56.0,01-3640-1,庄内歯科医院,〒064－0916,札幌市中央区南１６条西９丁目２ー２１ＭＳスカイハイツ１Ｆ,011-521-2488,庄内　晃二,庄内　晃二 / 交代 / 令6. 10. 13,平9. 10. 13,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

57.0,01-3641-9,かまだ歯科,〒060－0013,札幌市中央区北１３条西１５丁目１番１０号,011-746-9608,鎌田　隆,鎌田　隆 / 移動 / 令3. 11. 28,平9. 11. 28,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

58.0,01-3642-7,内山デンタルクリニック,〒064－0807,札幌市中央区南７条西２５丁目６ー２,011-561-8020,内山　孝英,内山　孝英 / 新規 / 令4. 1. 15,平10. 1. 15,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

59.0,01-3646-8,いしぐろ歯科クリニック,〒060－0011,札幌市中央区北１１条西１５丁目２ー１サンエーアインビル２階,011-756-1182,石黒　雄一,石黒　雄一 / 新規 / 令4. 5. 15,平10. 5. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

60.0,01-3655-9,セントラル富士東歯科医院,〒060－0061,札幌市中央区南１条西５丁目セントラル富士２Ｆ,011-251-6500,東　敏樹,東　敏樹 / 交代 / 令5. 1. 1,平11. 1. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

61.0,01-3657-5,髙橋歯科クリニック,〒064－0811,札幌市中央区南１１条西８丁目５４５ー１５ー３４,011-552-8148,髙橋　茂,髙橋　茂 / 新規 / 令5. 4. 15,平11. 4. 15,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

62.0,01-3658-3,カリヤ歯科医院,〒064－0810,札幌市中央区南１０条西１丁目１ー１ー６１８,011-511-1995,刈谷　榮演,刈谷　榮演 / 交代 / 令5. 2. 27,平11. 2. 27,歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

63.0,01-3659-1,おおいで矯正歯科,〒060－0001,札幌市中央区北１条西３丁目札幌中央ビル７階,011-241-0088,大出　博司,大出　博司 / 交代 / 令5. 5. 11,平11. 5. 11,矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

64.0,01-3662-5,山鼻さとう歯科,〒064－0811,札幌市中央区南１１条西７丁目２番７号ワイズパーク１階,011-552-0828,佐藤　弘美,佐藤　弘美 / 新規 / 令5. 9. 1,平11. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

65.0,01-3664-1,石塚歯科,〒060－0062,札幌市中央区南２条西２丁目ＢＬＯＣＫビル７階,011-251-6530,石塚　一夫,石塚　一夫 / 交代 / 令5. 11. 22,平11. 11. 22,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

66.0,01-3670-8,医療法人社団宏友会　札幌インプラント・矯正デンタルクリニック,〒064－0919,札幌市中央区南１９条西１４丁目１ー２０ライオンズマンション伏見公園,011-520-3123,医療法人社団　宏友会　理事長　玉野　宏一,玉野　宏一 / 新規 / 令6. 3. 1,平12. 3. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

67.0,01-3671-6,ルゥ歯科クリニック,〒064－0917,札幌市中央区南１７条西１７丁目１ー７南１７条ビル　１階,011-533-8805,當山　悟,當山　悟 / 新規 / 令6. 4. 1,平12. 4. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

68.0,01-3680-7,鈴木歯科医院,〒064－0921,札幌市中央区南２１条西８丁目２番地１５号ＳＲ札幌ビル３階,011-521-5201,鈴木　大輔,鈴木　大輔 / 交代 / 令6. 7. 1,平12. 7. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

69.0,01-3682-3,小林矯正歯科,〒060－0003,札幌市中央区北３条西３丁目１ー４１小野瀬ビル８Ｆ,011-232-8778,小林　宏樹,小林　宏樹 / 新規 / 令6. 8. 1,平12. 8. 1,矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

70.0,01-3684-9,中井歯科クリニック,〒064－0811,札幌市中央区南１１条西２１丁目２ー２７,011-551-2034,中井　英仁,中井　英仁 / 新規 / 令6. 9. 1,平12. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

71.0,01-3685-6,医療法人社団小川会　アスティ歯科クリニック,〒060－0004,札幌市中央区北４条西５丁目アスティ４５ビル　６階,011-205-6363,医療法人社団小川会　アスティ歯科クリニック,小川　優 / 組織変更 / 令6. 9. 1,平12. 9. 1,歯　歯外　小歯　矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

72.0,01-3689-8,医療法人社団　菅原歯科クリニック,〒060－0061,札幌市中央区南１条西１６丁目１番地２８５ノートルＫＹビル３Ｆ,011-614-4118,医療法人社団　菅原歯科クリニック,菅原　大地 / 組織変更 / 令6. 12. 1,平12. 12. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

73.0,01-3694-8,円山公園歯科,〒064－0801,札幌市中央区南１条西２５丁目２番２３号,011-616-6480,医療法人社団　トリヰ歯科医院,鳥井　優樹 / 新規 / 令7. 5. 15,平13. 5. 15,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

74.0,01-3695-5,Ｎ＆Ｒデンタルオフィス　田中歯科口腔外科,〒060－0006,札幌市中央区北６条西２４丁目３番５号,011-614-6480,田中　慎一,田中　慎一 / 新規 / 令7. 5. 15,平13. 5. 15,歯外　歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

75.0,01-3697-1,大西歯科クリニック,〒064－0925,札幌市中央区南２５条西１２丁目２－１８,011-561-6480,大西　成和,大西　成和 / 移動 / 令7. 6. 15,平13. 6. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

76.0,01-3699-7,ｄｅｎｔａｌｏｆｆｉｃｅおおとも,〒060－0061,札幌市中央区南１条西１１丁目３２７ー９パトス２Ｆ,011-241-7677,大友　康資,大友　康資 / 新規 / 令元. 9. 15,平13. 9. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

77.0,01-3705-2,医療法人社団　きむら歯科,〒064－0825,札幌市中央区北５条西２７丁目２番３号メディック２８,011-613-8618,医療法人社団　きむら歯科,木村　瑠香 / 組織変更 / 令元. 12. 1,平13. 12. 1,歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

78.0,01-3706-0,丸山歯科クリニック,〒064－0922,札幌市中央区南２２条西１５丁目サニークレスト札幌１Ｆ,011-532-5222,丸山　道朗,丸山　道朗 / 移動 / 令元. 12. 1,平13. 12. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

79.0,01-3708-6,藤井歯科医院,〒060－0001,札幌市中央区北１条西４丁目札幌ノースプラザ３Ｆ,011-231-1828,藤井　美弥,藤井　美弥 / 交代 / 令2. 2. 1,平14. 2. 1,歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

80.0,01-3711-0,あんねん歯科矯正歯科,〒064－0809,札幌市中央区南９条西６丁目１番３０号安念ビルグランシェモア中島公園１Ｆ,011-533-4180,安念　勇人,安念　勇人 / 新規 / 令2. 3. 15,平14. 3. 15,歯　小歯　矯歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

81.0,01-3712-8,いちやまた歯科,〒064－0918,札幌市中央区南１８条西７丁目２番５号,011-512-8277,田中　久美,田中　久美 / 新規 / 令2. 3. 15,平14. 3. 15,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

82.0,01-3716-9,なかじま歯科クリニック,〒064－0822,札幌市中央区北２条西２６丁目１番１０号エレガンス円山１Ｆ,011-614-8148,中島　智和,中島　智和 / 交代 / 令2. 4. 1,平14. 4. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

83.0,01-3717-7,安永歯科,〒060－0008,札幌市中央区北８条西１９丁目３５番地７０,011-631-6173,安永　二良,安永　二良 / 交代 / 令2. 5. 1,平14. 5. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

84.0,01-3722-7,アイ歯科診療所,〒064－0807,札幌市中央区南７条西１２丁目１番１３号,011-561-4111,一戸　崇,一戸　崇 / 新規 / 令2. 9. 15,平14. 9. 15,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

85.0,01-3724-3,医療法人社団愛育会　大通り矯正歯科クリニック,〒060－0001,札幌市中央区北１条西３丁目２番地井門札幌ビル４階,011-222-4618,医療法人社団愛育会,今井　義仁 / 移動 / 令2. 11. 1,平14. 11. 1,矯歯　小歯　歯 / 現存,診療所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

